title	index_type	link	score	Goal	query	Source	Deployment Date	Kill Chain Phase	Comments	Date of Post (for queries from Carbon Black online posts)
Scheduled task execution	events	Local File	50	Establish Persistence	process_name:at.exe OR process_name:schtask.exe	Deloitte IR/CB Pro Services		4-5 (Exploit Install)	 	
execution of the malicious chrome.exe process	events	Local File	0		process_name:chrome.exe and digsig_result:unsigned and md5:e8a30ccef9157ba2ee04ba95cf782b4d	Carbon Black Using Carbon Black for Incident Response Group			 https://community.carbonblack.com/thread/2543	1/7/2016
cmd.exe was spawned which echoed javascript and then used wscript to download the .tmp.dll (for CryptXXX) (filemod)	events	Local File	95		process_name:cmd.exe cmdline:echo (cmdline:&& or cmdline:&) filemod_count:[1 TO *]	Carbon Black Detection Exchange	7/27/2016	4-5 (Exploit Install)	 https://community.carbonblack.com/docs/DOC-4585#comment-4483	6/10/2016
CMD shell spawned by Excel	events	Local File	50		process_name:cmd.exe parent_name:excel.exe	Deloitte IR/CB Pro Services		4-5 (Exploit Install)	" CB Exchange ""Attackers execute macros or other executables with an MS Office document to obtain persistence or further exploit a system"""	
Typical troubleshooting / enumeration tools	events	Local File	50		process_name:enum.exe OR process_name:sc.exe OR process_name:netsh.exe OR process_name:arp.exe OR process_name:nmap.exe OR process_name:tasklist.exe OR process_name:tracert.exe OR process_name:ping.exe OR process_name:netstat.exe	Carbon Black Advanced Analyst Course	6/22/2016	1-3 (Recon Weapon Delivery)	Processes: No hits, even for individual searches CB Anaylst Training; Administration Tools potentially used to probe the environment	
Regedit spawned by process other than explorer	events	Local File	50		process_name:explorer.exe AND (childproc_name:regedit.exe OR childproc_name:regedt32.exe)	Deloitte IR/CB Pro Services			 	
FTP/SFTP usage	events	Local File	50	Exfiltration	process_name:ftp.exe OR process_name:sftp.exe	Deloitte IR/CB Pro Services		7 (Actions & Objectives)	 CB Anaylst Training; data can be sent through ftp to external server (beaconing)	
Internet Explorer run by SYSTEM	events	Local File	50		process_name:iexplore.exe username:system	Deloitte IR/CB Pro Services	7/26/2016		 	
Suspicious filename (misspelled system files)	events	Local File	50		process_name:isass.exe OR process_name:svch0st.exe OR process_name:svchost.dll OR process_name:lexplore.exe OR process_name:lexplorer.exe OR process_name:svchosts.exe OR process_name:csrsr.exe	Deloitte IR/CB Pro Services			 	
RDP sessions to external IP space	events	Local File	50		process_name:mstsc.exe AND (ipaddr:[0.0.0.0 to 9.255.255.255] OR ipaddr:[11.0.0.0 to 100.63.255.255] OR ipaddr:[100.128.0.0 to 127.0.0.0] OR ipaddr:[127.0.0.2 to 127.255.255.255] OR ipaddr:[128.0.0.0 to 172.15.255.255] OR ipaddr:[172.32.0.0 to 191.255.255.255] OR ipaddr:[193.0.0.0 to 192.167.255.255] OR ipaddr:[192.169.0.0 to 198.17.255.255] OR ipaddr:[198.20.0.0 to 255.255.255.255]) AND -ipaddr:[64.53.32.0 to 64.53.32.254]) -domain:ctldl.windowsupdate.com	Deloitte IR/CB Pro Services	6/22/2016		 	
Net.exe started by process other than gpshell.exe	events	Local File	50		process_name:net.exe -parent_name:gpshell.exe	Deloitte IR/CB Pro Services			 	
Netcat/Cryptcat	events	Local File	0	Lateral Movement Netcat & variants	process_name:netcat.exe OR process_name:ncat.exe OR cmdline:nc OR process_name:cryptcat.exe OR process_name:ccat.exe	Carbon Black Advanced Analyst Course	7/14/2016	6 (C2C)	 	
Notepad spawning child process	events	Local File	50		process_name:notepad.exe AND childproc_name:*.exe	Deloitte IR/CB Pro Services			 	
Use NTDSUTIL.exe to dump a copy of Active Directory ntds.dit, facilitating theft of credential and other ad data stored in this ESE database	events	Local File	100	Exfiltration	process_name:ntdsutil.exe (cmdline:in or cmdline:instance or cmdline:fu or cmdline:full)	Carbon Black Detection Exchange		7 (Actions & Objectives)	 https://community.carbonblack.com/docs/DOC-4454	4/27/2016
Powershell spawning dllhost.exe	events	Local File	50		process_name:powershell.exe AND childproc_name:dllhost.exe	Deloitte IR/CB Pro Services			 	
Powershell Bypass	events	Local File	50	Malicious PowerShell Usage	process_name:powershell.exe and cmdline:bypass	Deloitte IR/CB Pro Services		1-3 (Recon Weapon Delivery)	 	
Powershell Encoded Command	events	Local File	50	Malicious PowerShell Usage	process_name:powershell.exe and cmdline:-encodedcommand	Deloitte IR/CB Pro Services		1-3 (Recon Weapon Delivery)	 	
Powershell IEX	events	Local File	50	Malicious PowerShell Usage	process_name:powershell.exe AND cmdline:iex	Deloitte IR/CB Pro Services		1-3 (Recon Weapon Delivery)	 	
Dumping hashes for PTH/lateral movement	events	Local File	100	Lateral Movement	process_name:powershell.exe AND crossproc_name:lsass.exe	Carbon Black Detection Exchange	6/28/2016	6 (C2C)	 https://community.carbonblack.com/docs/DOC-3914	2/4/2016
PowerShell Making a netconn with unusual parameters	events	Local File	0	Malicious Powershell Usage	"process_name:powershell.exe AND netconn_count:[1 TO *] AND (cmdline:""-Enc"" OR cmdline:""-Exec"" OR cmdline:""bypass"" OR cmdline:""hidden"" OR cmdline:""-NoP"")
"	Carbon Black Detection Exchange		1-3 (Recon Weapon Delivery)	 comment on post https://community.carbonblack.com/docs/DOC-4246	3/29/2016
Powershell started by rundll32.exe	events	Local File	50	Malicious PowerShell Usage	process_name:powershell.exe AND parent_name:rundll32.exe	Deloitte IR/CB Pro Services		4-5 (Exploit Install)	 	
Powershell Download	events	Local File	50		process_name:powershell.exe cmdline:net.webclient\).downloadstring\(http:	Deloitte IR/CB Pro Services	6/22/2016		 	
Powershell started by process other than explorer or gpscript	events	Local File	50		process_name:powershell.exe -parent_name:explorer.exe -parent_name:gpscript.exe	Deloitte IR/CB Pro Services	6/28/2016		 	
RAR usage	events	Local File	50	Privilege Escalation	process_name:rar.exe	Deloitte IR/CB Pro Services		4-5 (Exploit Install)	 	
Reg Usage	events	Local File	0	Persistence 	process_name:reg.exe	Carbon Black Advanced Analyst Course		4-5 (Exploit Install)	 	
anomalous behavior for the regsvr32 process	events	Local File	0		process_name:regsvr32.exe and netconn_count:[1 to *] or modload:scrobj.dll	Carbon Black Threat Intel Group			 https://community.carbonblack.com/docs/DOC-4444	4/26/2016
cmd.exe was spawned which echoed javascript and then used wscript to download the .tmp.dll (for CryptXXX) with regsvr32	events	Local File	95		process_name:regsvr32.exe modload:*.tmp.dll	Carbon Black Detection Exchange		4-5 (Exploit Install)	 https://community.carbonblack.com/docs/DOC-4585#comment-4483	6/10/2016
Robocopy usage	events	Local File	50	Privilege Escalation	process_name:robocopy.exe	Deloitte IR/CB Pro Services	6/28/2016	4-5 (Exploit Install)	 	
Runas usage	events	Local File	50	Privilege Escalation	process_name:runas.exe OR cmdline:runas	Carbon Black Advanced Analyst Course		4-5 (Exploit Install)	 	
Rundll32 usage	events	Local File	50	Privilege Escalation	process_name:rundll32.exe	Deloitte IR/CB Pro Services	6/28/2016	4-5 (Exploit Install)	 	
Rundll32 used to run html	events	Local File	50		"process_name:rundll32.exe AND cmdline:""mshtml,runhtmlapplication"""	Deloitte IR/CB Pro Services			 	
Rundll32 used to run javascript	events	Local File	50		"process_name:rundll32.exe cmdline:""javascript:\"""""	Deloitte IR/CB Pro Services			 	
Smss started by suspicious process	events	Local File	50		process_name:smss.exe AND parent_name:* AND -parent_name:smss.exe AND -parent_name:ntkrnlpa.exe AND -parent_name:ntoskrnl.exe	Deloitte IR/CB Pro Services			 	
Svchost with unusual username	events	Local File	50		"process_name:svchost.exe (-username:SYSTEM OR -username:""NETWORK SERVICE"" OR -username:""LOCAL SERVICE"")"	Deloitte IR/CB Pro Services			 	
Pattern Based on the creation of the destructive malware	events	Local File	100		process_name:taskhost*.exe AND -digsig_result:Signed	Carbon Black Using Carbon Black for Incident Response Group			 https://community.carbonblack.com/thread/1245	12/5/2014
 Detects anytime Taskmgr.exe Dumps a Process	events	Local File	0		process_name:taskmgr.exe crossproc_name:lsass.exe filemod:lsass*.dmp	Carbon Black Using Carbon Black for Incident Response Group			 https://community.carbonblack.com/thread/2274	10/30/2016
Windows Credential Editor usage	events	Local File	50	Privilege Escalation	process_name:wce.exe	Deloitte IR/CB Pro Services		4-5 (Exploit Install)	 	
WMIC usage	events	Local File	50	Privilege Escalation	process_name:wmic.exe	Carbon Black Advanced Analyst Course		4-5 (Exploit Install)	 	
"

Pattern based on the dropper strings
"	events	Local File	50		process_name:wmic.exe AND cmdline:process AND cmdline:call AND cmdline:create	Carbon Black Using Carbon Black for Incident Response Group			 https://community.carbonblack.com/thread/1245	12/5/2014
Wscript usage	events	Local File	50		process_name:wscript.exe	Deloitte IR/CB Pro Services	6/22/2016		 	
cmd.exe was spawned which echoed javascript and then used wscript to download the .tmp.dll (for CryptXXX) (scripts)	events	Local File	95		"process_name:wscript.exe (cmdline:""//E:JScript"" or cmdline:""//E:vbscript"" or cmdline:""/E:JScript"" or cmdline:""/E:vbscript"" or cmdline:""-E:JScript"" or cmdline:""-e:vbscript"") netconn_count:[1 TO *]"	Carbon Black Detection Exchange		4-5 (Exploit Install)	 https://community.carbonblack.com/docs/DOC-4585#comment-4483	6/10/2016
Simple registry modification used by Locky	events	Local File	95		"regmod:""\Software\Locky"" or regmod:""\Software\Locky\id"" or regmod:""\Software\Locky\pubkey"" or regmod:""\Software\Locky\paytext"""	Carbon Black Detection Exchange			 https://community.carbonblack.com/docs/DOC-4003 and https://medium.com/@networksecurity/locky-ransomware-virus-spreading-via-word-documents-51fcb75618d2#.wt7dyc9ph	2/17/2016
"Detecting a registry modification where this malware stores its data. ""Fileless"" -- what it really means is it writes it to a registry key. Similar concept to poweliks."	events	Local File	95	Detect the storage of the encoded data blob for Gootkit's DLL payload	"regmod:""Software\AppDataLow\binaryImage32_0"" or regmod:""Software\AppDataLow\binaryImage64_0"""	Carbon Black Detection Exchange		1-3 (Recon Weapon Delivery)	 https://community.carbonblack.com/docs/DOC-4002	2/17/2016
Registry modification to context menu	events	Local File	50		"regmod:""software\classes\*"" AND regmod:""shellex\contextmenuhandlers"""	Deloitte IR/CB Pro Services	6/28/2016		 	
Startup Registry Modification (Run)	events	Local File	50	Establish Persistence	"regmod:""software\microsoft\windows\currentversion\run"""	Deloitte IR/CB Pro Services		4-5 (Exploit Install)	 	
Startup Registry Modification (RunOnce)	events	Local File	50	Establish Persistence	"regmod:""software\microsoft\windows\currentversion\runonce"""	Deloitte IR/CB Pro Services		4-5 (Exploit Install)	 	
This watchlist takes advantage of a hardcoded bogus registry modification for Pony 2.0	events	Local File	95	Pony Downloader. Commonly used by script kiddies since the source code leak. Also commonly used in deploying Vawtrak and as a general credential stealer.	"regmod:""software\winrar\HWID"""	Carbon Black Detection Exchange			 community.carbonblack.com/docs/DOC-3980	2/11/2016
Registry modification to Hidden entry by process other than explorer	events	Local File	50		regmod:\registry\user\*\software\microsoft\windows\CurrentVersion\Explorer\Advanced\Hidden And -process_name:explorer.exe	Deloitte IR/CB Pro Services			 	
Registry modification to UILanguages	events	Local File	50		regmod:control\MUI\UILanguages\*	Deloitte IR/CB Pro Services			 	
Startup Registry Modification (Run*) (current version)	events	Local File	50	Establish Persistence	regmod:CurrentVersion\Run*	Carbon Black Advanced Analyst Course	6/28/2016	4-5 (Exploit Install)	 RunKeys updates	
Look for a known keyword registry modification for DarkComet RAT	events	Local File	95		regmod:DC3_FEXEC or regmod:DC2_USERS	Carbon Black Detection Exchange			 https://community.carbonblack.com/docs/DOC-3998	2/12/2016
" registry modification that can be used to abuse the ""debugger"" feature of Windows, whereby a second executable is automatically launched at the same time as another executable"	events	Local File	60		regmod:image\ file\ execution\ options\*\debugger -process_name:procexp64.exe -process_name:msiexec.exe	Carbon Black Detection Exchange			" Windows doesn't check if the second executable is actually a debugger or not, so this feature can be abused in various ways. Changing these registry keys does require administrative access, so would likely occur in the ""post-exploitation"" phase, not as a direct means of exploitation or privilege escalation. https://community.carbonblack.com/docs/DOC-3917"	2/4/2016
Pattern based on the creation of the persistence service	events	Local File	90		regmod:system\currentcontrolset\services\WinsSchMgmt*	Carbon Black Using Carbon Black for Incident Response Group			 https://community.carbonblack.com/thread/1245	12/5/2014
looks for regsvr32.exe with cross proc into other services	events	Local File	100		"regsvr32.exe crossproc_type:""remotethread"" "	Carbon Black Detection Exchange	6/28/2016		 https://community.carbonblack.com/docs/DOC-3858	1/26/2016
